"Step","brisk-sky-185 - test_acc","brisk-sky-185 - test_acc__MIN","brisk-sky-185 - test_acc__MAX","cosmic-voice-183 - test_acc","cosmic-voice-183 - test_acc__MIN","cosmic-voice-183 - test_acc__MAX","earthy-yogurt-184 - test_acc","earthy-yogurt-184 - test_acc__MIN","earthy-yogurt-184 - test_acc__MAX","serene-elevator-182 - test_acc","serene-elevator-182 - test_acc__MIN","serene-elevator-182 - test_acc__MAX","drawn-dust-178 - test_acc","drawn-dust-178 - test_acc__MIN","drawn-dust-178 - test_acc__MAX","balmy-wildflower-179 - test_acc","balmy-wildflower-179 - test_acc__MIN","balmy-wildflower-179 - test_acc__MAX","bumbling-cosmos-176 - test_acc","bumbling-cosmos-176 - test_acc__MIN","bumbling-cosmos-176 - test_acc__MAX","ruby-elevator-177 - test_acc","ruby-elevator-177 - test_acc__MIN","ruby-elevator-177 - test_acc__MAX","golden-water-180 - test_acc","golden-water-180 - test_acc__MIN","golden-water-180 - test_acc__MAX","dry-waterfall-179 - test_acc","dry-waterfall-179 - test_acc__MIN","dry-waterfall-179 - test_acc__MAX","worthy-waterfall-175 - test_acc","worthy-waterfall-175 - test_acc__MIN","worthy-waterfall-175 - test_acc__MAX","sunny-wind-174 - test_acc","sunny-wind-174 - test_acc__MIN","sunny-wind-174 - test_acc__MAX","vibrant-frost-173 - test_acc","vibrant-frost-173 - test_acc__MIN","vibrant-frost-173 - test_acc__MAX","sage-puddle-172 - test_acc","sage-puddle-172 - test_acc__MIN","sage-puddle-172 - test_acc__MAX","light-pond-171 - test_acc","light-pond-171 - test_acc__MIN","light-pond-171 - test_acc__MAX"
"3","93.53841145833333","93.53841145833333","93.53841145833333","100","100","100","100","100","100","100","100","100","0","0","0","51.60618782043457","51.60618782043457","51.60618782043457","100","100","100","2.2705078125","2.2705078125","2.2705078125","100","100","100","100","100","100","0","0","0","100","100","100","12.909392356872559","12.909392356872559","12.909392356872559","100","100","100","100","100","100"
"4","100","100","100","100","100","100","0","0","0","94.09822082519531","94.09822082519531","94.09822082519531","72.9494457244873","72.9494457244873","72.9494457244873","100","100","100","100","100","100","90.966796875","90.966796875","90.966796875","100","100","100","100","100","100","72.9799575805664","72.9799575805664","72.9799575805664","0","0","0","18.52612590789795","18.52612590789795","18.52612590789795","100","100","100","100","100","100"
"5","100","100","100","100","100","100","82.85965983072917","82.85965983072917","82.85965983072917","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","68.09192848205566","68.09192848205566","68.09192848205566","100","100","100","100","100","100","100","100","100","100","100","100"
"6","100","100","100","100","100","100","100","100","100","100","100","100","0","0","0","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","65.93603897094727","65.93603897094727","65.93603897094727","100","100","100","100","100","100","100","100","100","100","100","100"
"7","40.54875946044922","40.54875946044922","40.54875946044922","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100"
"8","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","73.83636093139648","73.83636093139648","73.83636093139648","100","100","100","95.54247283935547","95.54247283935547","95.54247283935547","100","100","100","100","100","100"
"9","100","100","100","95.95973714192708","95.95973714192708","95.95973714192708","100","100","100","100","100","100","83.66048431396484","83.66048431396484","83.66048431396484","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","92.85113525390625","92.85113525390625","92.85113525390625","100","100","100","100","100","100","70.8058369954427","70.8058369954427","70.8058369954427","100","100","100"
"10","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","89.27323150634766","89.27323150634766","89.27323150634766","100","100","100","100","100","100","49.801815032958984","49.801815032958984","49.801815032958984","100","100","100","100","100","100","100","100","100","100","100","100"
"11","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","88.05133819580078","88.05133819580078","88.05133819580078","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100"
"12","100","100","100","100","100","100","100","100","100","100","100","100","83.66048431396484","83.66048431396484","83.66048431396484","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","0","0","0","100","100","100","100","100","100","100","100","100","74.06176376342773","74.06176376342773","74.06176376342773"
"13","100","100","100","100","100","100","56.795667012532554","56.795667012532554","56.795667012532554","91.11328125","91.11328125","91.11328125","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100"
"14","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","65.13435745239258","65.13435745239258","65.13435745239258","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100"
